item_id,roll_name
14223,雪风
14224,水车低鸣
14225,伟大的母港
14226,希望之都
14227,监牢
14228,沙之家
14229,曼德维尔金碟游乐场
14230,陆行鸟竞赛
14231,再来一杯！
14232,华彩的山麓
14233,云中匿影
14234,水晶序曲
14235,非著名调查员
14236,唯一的行路
14237,走向世界
14238,啪啪呀
14239,挥汗如雨
14240,坚毅
14241,以血洗血
14242,饿狼群集
14243,激潮
14244,漆黑的誓言
14245,黑暗的拥抱
14246,风暴中的灯火
14247,异想天开
14248,上下易位
14249,魔大战的伤痕
14250,天降之力
14251,究极神兵
14252,诸神已死
14253,原始的审判
14254,堕天使
14255,重压灭顶
14256,英杰
14257,魔神
14258,傲慢
14259,一落千丈
14260,绚烂
14261,多加与乌内之心
14262,暗淡
14263,最后的死斗
14264,悠久之风
14265,雷鸣
14266,白银凶鸟展翅翱翔
14267,死灰复燃
14268,斗争
14269,Answers -生死答问-
15801,女王的美梦
15802,水手不眠
15803,萤火之舞
15804,位高责重
15805,玛托雅的洞穴
15806,歇宿
15807,迎风
15808,人王
15809,缺失的书页
15810,灼热之地
15811,乘上西风
15812,沉静
15813,红莲节
15814,Heavensward　-飞向苍穹-
15815,密道
15816,凶兆
15817,万世箴言
15818,坚不可摧
15819,谢罪之诗
15820,越过地平线
15821,水手遇难
15822,混沌的漩涡
15823,贤王莫古尔·莫古十二世
15824,绝命怒嚎
15825,大桥上的死斗
15826,死斗
15827,苍翼
15828,艾欧泽亚的守护者
15829,萨纳兰的黄昏
15830,拉诺西亚的疾风
15831,大地低语
15832,Dragonsong　-千年龙诗-
16797,守护天节
16798,彻夜狂欢
16799,星芒节
16800,降神节
16801,第七星历
16802,熏灰
16803,豁达的家
16804,贵族沉眠
16805,夜雾缭绕
16806,安乐小屋
16807,倒影
16808,天上世界
16809,库尔札斯的寂静
16810,心灵的归处
16811,家园
16812,灾厄蔓延
16813,战斗1.X
16814,漆黑的艾达
16815,幽幻夜雾
16816,渎神魔王
16817,死亡报告
16818,永眠
16819,银泪
16820,地壳
16821,雪上的足迹
16822,忘却的彼岸
16823,电闪雷鸣
16824,平衡
16825,父子之罪
16826,轨迹
16827,金属
16828,金属 - 正义无情
16829,指数崩坏
16830,起义
16831,无边无际（身心二元）
16832,不屈之刃（身心二元）
17621,纯爱之吻
17622,小小捣蛋鬼
17623,离群一族
17624,边境
17625,一瞬的光彩
17626,海风飘香
17627,厚于利刃
17628,宝石
17629,向胜利冲锋
17630,帝国的意志
17631,钢铁理念
17632,祈祷之歌
17633,永远的离别
17634,超越极限
17635,圣座
17636,尘沙
17637,另一块砖
17638,斩
17639,无尽苍空
17640,灾厄狂起
17641,武神降临
17642,不屈之刃
17643,无限
17644,战乱
17645,螺旋
17646,无限循环
17647,以太圈
17648,虚无之棺
17649,雨中泪
17650,千面
17651,希望之地
17652,泡影
17846,超级虹彩战队Z
17847,生死答问 - 回响
17848,Stormblood　-血雨狂潮-
17849,涛声
17850,鸟鸣
17851,雨声
17852,蝉鸣
17853,有毒植物
17854,恐书症
17855,启示
17856,阴谋美计
17857,天王
17858,静寂的星空
17859,铁壁之外
17860,火焰之海
17861,沉没于天际
17862,隐忍之刃
17863,汇集的海风
17864,喧嚣的树丛
17865,交错的命运
21276,虫鸣
21277,篝火
21278,晨间厨房
21279,猛禽猎食
21280,神拳之痕
21281,冲击
21282,红色黎明
21283,登高远望
21284,盐与苦难之歌
21285,光宗耀祖
21286,硬甲
21287,打开的玉手箱
21288,英雄未成
21289,策谋
21290,离乡
21291,神龙见首
21292,神龙见尾
21293,三等分
21294,桥上之战
21295,阿尔蒂玛优雅形态
21296,主人公主题曲
21297,背景故事
21298,究极神兵（交响乐版）
21299,英杰（交响乐版）
21319,帝国之威
21320,星芒之门
22467,小河流水
22468,街市嘈杂
22469,寺院钟鸣
22470,教堂钟鸣
22471,凯严主题曲　～红莲～
22472,五郎八
22473,惬意
22474,红莲序曲
22475,烈羽争锋
22476,红色夜阑
22477,深宵之海
22478,母以子贵
22479,升起于地平
22480,边防卫士
22481,邪风飒飒
22482,手下无情
22483,鬼岛
22484,坚不可摧（身心二元）
22485,豹头环眼
22486,自由或是死亡
22487,呐喊
22488,天雷
22489,天风
22490,复仇的怒嚎
22491,破碎
22492,永远的碎片
22493,塞壬的歌声
22605,前往新大陆的基础
22606,支配森林的蛮颚之龙
22607,英雄之证
23317,风铃轻荡
23318,海中
23319,胜利或是死亡
23320,东方之地
23321,离别
23322,Revolutions　-变革之时-
23323,古都
23324,月亮门
23325,风水宝地
23326,黑暗与白雪
23327,天晴大鲶音头
23328,世界地图
23329,小礼拜堂
23330,基鲁菲冈之谜
23331,卒中
23332,剑闪
23333,月下美人
23334,彼岸花开
23335,白银凶鸟展翅翱翔（交响乐版）
23336,复仇的怒嚎（交响乐版）
23337,忘却的彼岸（交响乐版）
24291,星芒之歌
24292,摇篮
24293,触礁
24294,圣域陷阱
24295,红莲战旗之下
24296,泥中莲花
24297,死亡大地
24298,千年旭光
24299,战斗2δ
24300,决战δ
24301,最后之战δ
24302,决战σ
24303,妖星乱舞σ 第1乐章
24304,妖星乱舞σ 第2乐章
24305,妖星乱舞σ 第3乐章
24306,妖星乱舞σ 第4乐章
24307,战斗α
24308,万龙之祖
24309,逃亡
24310,无心
24311,德尔塔幻境
24312,让梦乘上翅膀
24313,结局
24314,彼岸花开（芯片音乐版）
24315,神龙见尾（芯片音乐版）
24316,起义（蛮荒神影）
24317,忘却的彼岸（GUNN演唱版）
24318,沉静（交响乐版）
24319,灾厄蔓延（交响乐版）
24320,凶兆（交响乐版）
24344,从天而降
24345,英杰起义（芯片音乐版）
25060,云蒸龙变
25061,硝烟弥漫
25062,游戏理论
25063,东方游戏
25064,余光
25065,遗忘的希望
25066,铭记于石
25067,古伤
25068,和谐
25069,乐园之门 - 茹美特庭园
25070,猛攻
25071,动荡
25072,最终救赎
25073,职员名单
25074,阿鲁玛主题曲
25075,繁星之下
25076,紧急1
25077,退热剂
25078,异形之人
25079,阿尔蒂玛完美形态
25080,锤头鲨
25081,幻想圆舞曲
25082,休息与反省
25083,黑暗遮蔽
25084,夜之启示
25085,快速加油
25086,华彩的山麓（交响乐版）
25087,无限循环（交响乐版）
27895,照耀世界之暗
27896,耽溺
27897,始源湖
27898,分隔的世界
27899,琥珀沙漠
27900,残忍与自由
27901,文明
27902,水深五寻
27903,天使醒来
27904,精神错乱
27905,Shadowbringers　-暗影使者-
27906,明日与未来
27907,烈火与利剑
27908,虚构
27909,解读
27910,幽深
27911,凶兽腹中
27912,末日时刻
27913,无影之影
27914,一瞬千里
27915,异形
27916,愤怒
27917,力战前行　～暗影～
27918,地裂
27919,对峙
27920,贪欲
27921,神龙见尾（星海旅途）
27922,逃亡（星海旅途）
28063,耀眼浪苍
28647,天楔
28648,强权
28880,智慧不眠
28881,假面舞会
28882,不变与变化
28883,疾径
28884,鲜血沙漠
28885,妖精之环
28886,无望的竞争
28887,幽冥水底
28888,享乐之痛
28889,不灭孤念
28890,华美宫殿
28891,梦园之门
28892,攻势战场
28893,守势战场
28894,陆行鸟星芒
28895,大家一起，无所畏惧
28896,意义／无
28897,遗留之所／斜光
28898,终结之音
28899,不归之声／吉他
28900,异物显现
28901,远古之歌／赎罪
28902,双极的噩梦
28903,世界的重量／水晶序曲版
28904,月读命之歌（交响乐版）
28905,神龙见尾（交响乐版）
30249,蓝色原野
30250,雷轰电转
30251,原始的堕天使
30252,忘却的此岸
30253,究极神兵（蛮荒神影）
30255,少女的哀歌
30256,泽梅尔要塞
30257,潜伏于沙
30258,霍啪栌古盘
30259,崩坏的虚妄
30260,一起来跳弗拉门戈
30261,应许之地
30262,忠义
30263,石与钢
30264,无名众人的激情
30265,不稳深渊
30266,活着的理由
30267,一言难尽的悲哀
30268,命运之旅
30269,未解读法则
31662,沃茨之锤
31664,悠久之风　～暗影～
31665,末路尽头
31666,博兹雅的微风
31667,博兹雅的血风
31668,动乱 帝国版（黄道年代）
31669,潜入（黄道年代）
31670,召唤兽战（黄道年代）
31671,死斗（黄道年代）
31672,异路同归
31673,宿命
31674,冬贝利之泪
31675,憎恶
31676,邪龙急袭
31677,苍穹骑士团
31678,破碎的心
31679,游乐园
31680,谎言之城
31681,祖母／破坏
31682,异形的末路
31683,天降之力～破坏一切的黑色巨人／混合版
31684,幽冥水底（古裔今罪）
31685,一瞬千里（古裔今罪：乐团版）
31686,希望之都（钢琴集）
31687,水车低鸣（钢琴集）
31688,伟大的母港（钢琴集）
33111,重建竣工小调
33112,漆黑王狼重现世间
33113,格格主题曲
33114,索亨地下宫殿（黄道年代）
33115,无言之战（黄道年代）
33116,女王复活
33117,刚出炉的仙子猪
33118,不要畏惧　～暗影～
33119,传说之兽　～暗影～
33120,不会失效的约定
33121,极尽　～暗影～
33122,复仇
33123,无处之处
33124,明日复明日
33125,危言
33126,无法拼合的碎片
33127,修行
33128,战神的教义
33129,苍色的日常
33130,华彩的夜空
33131,名誉之战
33132,地下坑道
33133,跳舞娃娃卡尔克布莉娜　～苍穹～
33134,凶兆（钢琴集）
33135,夜雾缭绕（钢琴集）
33136,华彩的山麓（钢琴集）
33141,夏弗还是布吉　～暗影～
33756,乘上西风（钢琴集）
33757,沉静（钢琴集）
33758,灼热之地（钢琴集）
33841,孤儿们的战斗
33842,愤怒的恶魔
33843,烈火七部族
33844,追悼
33845,艾米尔／绝望
33846,凯妮／最终幻想主题曲版
33847,世界的重量／伴奏曲
33848,寻爱之人
33849,爱是库啵？
33850,蓄意
33851,清风拂面
33852,更好的明天
33853,不灭孤念（古裔今罪：钢琴版）
33854,明日与未来（古裔今罪：Amanda Achen演唱版）
33855,忘却的此岸（古裔今罪：Amanda Achen演唱版）
33856,天使醒来（古裔今罪：Amanda Achen演唱版）
33857,一瞬千里（古裔今罪：钢琴版）
33858,平衡（古裔今罪：乐团版）
33859,天使醒来（古裔今罪：乐团版）
33860,暗影使者（古裔今罪：乐团版）
33861,耀眼浪苍（古裔今罪：乐团版）
33862,贪欲（古裔今罪：乐团版）
33863,起义（脉动电音）
33864,混沌的漩涡（脉动电音）
33865,幽冥水底（脉动电音）
33866,天使醒来（脉动电音）
33867,千年旭光（脉动电音）
33907,天穹同庆
33909,终结之音：丁
33910,不归之声／通常
33911,沉痛之色
33912,疫病蔓延
33913,恶疾缠身
33914,停滞的祈祷／晓风
36349,佐特塔
36350,加雷马快列
36351,天空燃烧之日
36352,创造之奇迹
36353,星海
36354,先逝的群星
36355,开开心心胡萝卜
36356,呼唤终结之神
36357,你的答案
36359,惩戒的镣铐
36360,此处有狮
36361,知识的水瓶
36362,落日之都
36363,迷津
36364,众神的教诲
36365,白雪与黑铁
36366,一小步
36367,远古的天空
36368,近在天边
36369,搏战
36370,锋芒
36371,终局
36372,终途旅人 - 足迹
36373,Flow -生如归流-
36374,通向黎明
36375,邪龙咆哮
36376,昏暗的深处
36377,万世箴言（钢琴集）
36378,英杰（钢琴集）
36379,古伤（钢琴集）
37413,打开的地图
37414,终结之战
37415,情感所影响的力量
37416,众生如归流
37418,巡礼者之路
37419,威光
37420,生命的天平
37421,河马骑手团
37422,智慧的海螺
37423,终有一日　～晓月～
37424,多彩之都
37425,熏香之都
37426,迷梦
37427,众人的祈祷
37428,黑暗与黑铁
37429,回去吧，回到遥远的故乡
37430,远古的星空
37431,城镇主题曲　～晓月～
37432,热身
37433,狩猎时机　～晓月～
37434,快跑！　～晓月～
37435,犹如夏雨
37436,堕落
37437,战祸
37438,天赐良机
37439,崇山峻岭
37440,深宵之海（钢琴集）
37441,异想天开（钢琴集）
37442,红色夜阑（钢琴集）
38631,高贝扎四天王之战　～禁断的记忆～
38632,特罗亚国　～晓月～
38633,战斗2（最终幻想IV）　～晓月～
38634,萨纳兰的热沙
38635,无声尖叫
38636,尖叫
38637,其火尚存
38638,相白质黑
38639,冒险途中的小憩
38640,丰饶之岛
38641,天边的瑶星
38642,艾欧泽亚陆行鸟
38643,蛇巢司令部
38644,黑涡军令部
38645,恒辉作战总部
38646,露水之玉，明月之光
38647,海上涟漪
38648,沙中秘密
38649,同仇敌忾
38650,钟声
38651,圣痕
38652,魔导军团
38653,天幕之下
38654,千声悲鸣
38655,莫要在野营地撒野
38656,夏弗还是布吉
38657,近在天边（超越暗影）
38658,此处有狮（超越暗影）
38659,环境音：无声
39596,与此同时　～野心蠢动～
39598,魂火铸就
39600,洞中青辉
39602,众神的宠爱
39603,跃动的大地
39604,满月之夜
39605,胜利的号角　～重生～
39606,险技
39607,古城墙内
39608,昔日的回响
39609,极寒战线
39610,守财奴的愚行
39611,落日遗迹
39612,神圣的教导
39613,进退
39614,啪啪呀降质版
39618,极乐
39619,哀愁
39620,梦中的天空
39621,末路尽头（交响乐版）
39622,生如归流（交响乐版）
